,客户编号,客户公司名称,客户公司编号,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,第一选择基金,第二选择基金,第三选择基金,第四选择基金
3465,C3466,公司10,1010025,6.0,11.0,15.35257081,56.0,0.488028538,1.0,12.0,132.0,9.095955722,5.0,0.875618104,5.0,62.0,8.585205896,3.757392556,6.0,33.58837439,58.0,6.432439514,1.0,6.346374468,,64.0,44.0,8.916375274,0.0,1.727848937,17.80456788,34.61610857,2.0,1.0,77.0,12.27177168,1.0,6.0,7.0,1.0,69.0,13.0,71.63407252,  ,  ,  ,  
1408,C1409,公司19,3644281,5.0,30.0,30.90204251,71.0,0.293406223,1.0,3.0,126.0,13.81339619,17.0,0.226784626,5.0,4.0,3.609056811,7.196242521,5.0,17.32041326,85.0,78.56432226,12.0,0.713618725,,48.0,28.0,19.13957938,0.0,50.53607003,10.14046509,45.52098593,1.0,1.0,55.0,10.70304374,1.0,10.0,5.0,2.0,34.0,13.0,89.66241753,  ,  ,  ,  
468,C0469,公司14,1979649,3.0,68.0,8.277476759,42.0,0.682568391,1.0,11.0,98.0,23.81341415,69.0,0.669272695,2.0,57.0,3.09532595,23.20786389,74.0,17.03879518,79.0,35.9513913,17.0,19.2292321,,36.0,32.0,12.80707077,0.0,75.08264003,5.880268261,,1.0,1.0,94.0,19.52231243,1.0,2.0,3.0,11.0,86.0,15.0,28.90499742,J0149,  ,  ,  
1175,C1176,公司4,161604,4.0,51.0,19.05313636,7.0,0.637296622,1.0,12.0,32.0,24.93151186,69.0,0.712330007,7.0,39.0,6.54070347,11.5258777,18.0,29.08186603,36.0,39.78703572,8.0,0.645644723,,59.0,48.0,6.304327529,0.0,16.42553295,12.41449858,43.71139743,5.0,1.0,60.0,13.32252004,1.0,1.0,1.0,11.0,17.0,30.0,29.97332851,  ,  ,  ,  
5224,C5225,公司13,1705636,3.0,45.0,24.28208696,152.0,0.287236548,1.0,2.0,153.0,21.87560647,66.0,0.133510627,12.0,67.0,12.26463803,6.544007436,42.0,19.85237804,44.0,21.42437328,18.0,13.29814008,,26.0,65.0,5.066052928,0.0,20.5032029,0.38188581,66.47800133,5.0,1.0,86.0,12.65587475,1.0,1.0,7.0,7.0,35.0,32.0,38.36405084,J0040,J0154,  ,  
8128,C8129,公司8,646416,12.0,59.0,33.34486037,45.0,0.489958563,1.0,6.0,88.0,13.14772792,6.0,0.794381245,12.0,12.0,3.786433461,29.89890699,44.0,22.12182978,8.0,0.916862114,10.0,19.67634254,,43.0,32.0,10.55025893,0.0,77.40543206,18.67899698,56.55072299,3.0,1.0,63.0,10.9028408,1.0,4.0,5.0,11.0,34.0,32.0,89.6401286,  ,  ,  ,  
424,C0425,公司18,3272481,3.0,19.0,24.72829233,165.0,0.970796887,1.0,7.0,151.0,31.70158165,57.0,0.149176324,8.0,60.0,19.3363582,21.50917285,12.0,4.25407846,66.0,78.31335751,6.0,4.961801881,,77.0,57.0,10.83248447,0.0,84.18502469,6.706792175,28.57835277,5.0,1.0,3.0,0.476663029,1.0,1.0,1.0,8.0,32.0,45.0,31.51020815,  ,  ,  ,  
7047,C7048,公司18,3272481,12.0,65.0,12.46625174,94.0,0.5862682,1.0,12.0,22.0,1.632738112,51.0,0.871688346,3.0,8.0,8.795110579,0.124790562,42.0,7.552199964,7.0,0.022505243,7.0,5.733490227,,11.0,29.0,5.407336538,,75.93381767,14.97141424,41.07439613,1.0,1.0,2.0,3.087791634,1.0,8.0,2.0,1.0,39.0,92.0,52.63679496,  ,  ,  ,  
2483,C2484,公司19,3644281,11.0,15.0,2.641913623,185.0,0.535263528,1.0,3.0,70.0,16.7545416,64.0,0.344771433,10.0,71.0,14.94968913,2.868969054,53.0,0.904839013,43.0,18.03831809,11.0,4.28480948,,79.0,36.0,9.859189331,0.0,12.55464488,2.535129212,24.31540898,4.0,1.0,41.0,19.34783886,1.0,1.0,1.0,4.0,89.0,88.0,61.42441215,J0168,  ,  ,  
1825,C1826,公司8,646416,1.0,70.0,33.71369549,149.0,0.735142516,1.0,6.0,73.0,0.76574214,43.0,0.242837938,7.0,52.0,9.04435743,5.310707051,56.0,0.70194215,37.0,18.33933442,13.0,2.927057245,,81.0,8.0,12.99010823,0.0,4.996721831,16.96502065,18.65739023,4.0,1.0,9.0,17.98432466,1.0,3.0,7.0,7.0,55.0,66.0,35.42124092,  ,  ,  ,  
10557,C10558,公司6,363609,11.0,64.0,7.666694798,14.0,0.382460807,1.0,18.0,90.0,4.57626346,6.0,0.652576771,10.0,29.0,5.806774246,23.5950868,69.0,3.620664565,12.0,44.35051233,18.0,15.57754172,,43.0,33.0,6.213313422,0.0,19.97701417,7.978834427,31.20365271,3.0,1.0,35.0,10.81050831,1.0,3.0,2.0,5.0,94.0,70.0,70.21709619,J0168,  ,  ,  
1483,C1484,公司5,252004,6.0,6.0,33.54854981,42.0,0.431574414,1.0,12.0,50.0,0.595350332,26.0,0.735413135,1.0,40.0,6.932365708,20.68410773,53.0,19.51016279,44.0,63.44140192,4.0,9.995020984,,,26.0,15.95125746,0.0,71.33532842,6.855369019,84.53967873,4.0,1.0,3.0,17.46405243,1.0,3.0,3.0,3.0,10.0,61.0,70.90167717,J0109,J0040,J0177,  
9290,C9291,公司9,817216,5.0,53.0,22.31950344,19.0,0.025560221,1.0,12.0,21.0,33.44267686,47.0,0.194096892,7.0,53.0,6.72560595,4.743706535,76.0,22.51002694,35.0,40.54560394,15.0,14.46399963,,52.0,2.0,14.90571034,0.0,48.75368153,8.705559334,65.64593373,1.0,1.0,81.0,2.574882534,1.0,12.0,1.0,8.0,25.0,30.0,86.59426496,  ,  ,  ,  
9709,C9710,公司15,2271049,11.0,46.0,23.04416548,190.0,0.612023923,1.0,1.0,1.0,14.82251588,33.0,0.939891501,12.0,36.0,0.58425988,4.18682066,95.0,6.371502544,87.0,55.28015133,8.0,6.046216608,,47.0,68.0,,0.0,77.8073693,11.30170081,32.03344145,,1.0,80.0,9.177685543,1.0,10.0,7.0,10.0,70.0,93.0,11.38544626,  ,  ,  ,  
1650,C1651,公司14,1979649,3.0,11.0,9.567149887,134.0,0.878590157,1.0,6.0,144.0,12.98141286,40.0,0.063315312,6.0,35.0,2.115322958,10.77319352,3.0,29.7507056,79.0,51.64521659,16.0,15.74277757,,85.0,71.0,7.279479191,0.0,33.81352022,9.705812044,78.99096874,5.0,1.0,64.0,15.0599297,1.0,4.0,3.0,9.0,73.0,7.0,34.48197671,  ,  ,  ,  
9786,C9787,公司3,90601,1.0,41.0,33.06280137,64.0,0.780855157,1.0,12.0,80.0,11.18282163,2.0,0.732839615,,46.0,12.98631409,18.10193745,41.0,31.51149065,96.0,76.91933393,6.0,5.963448151,,6.0,20.0,14.06383827,0.0,35.72798326,2.938297455,84.62555804,4.0,1.0,75.0,2.266348868,1.0,1.0,3.0,9.0,82.0,70.0,87.45339988,  ,  ,  ,  
2813,C2814,公司14,1979649,10.0,46.0,4.918247864,163.0,0.889725705,1.0,5.0,118.0,22.93792063,48.0,0.232942882,11.0,15.0,1.860034503,5.403352617,81.0,10.26089373,72.0,18.35123685,11.0,13.14183493,,78.0,20.0,14.07556165,0.0,42.77290871,2.872706169,19.56899829,4.0,1.0,59.0,0.552082118,1.0,1.0,2.0,1.0,65.0,73.0,11.36402303,  ,  ,  ,  
3704,C3705,公司4,161604,10.0,68.0,0.167571077,17.0,0.411701172,1.0,13.0,194.0,16.52579557,5.0,0.636875559,6.0,39.0,13.57351175,6.318653954,90.0,14.50528022,15.0,16.81427261,11.0,1.581890311,,83.0,58.0,0.391114015,0.0,32.88509518,10.06713134,42.46970714,4.0,1.0,69.0,6.522912666,1.0,9.0,5.0,12.0,54.0,47.0,29.49354188,  ,  ,  ,  
6118,C6119,公司19,3644281,5.0,1.0,19.96785663,121.0,0.926714712,1.0,7.0,176.0,2.906407406,38.0,0.44975162,2.0,35.0,11.80546519,25.84000386,10.0,0.506516421,69.0,4.732413265,3.0,11.43654124,,78.0,30.0,0.760392942,0.0,45.52506201,5.364861087,58.93047648,2.0,1.0,73.0,3.813664697,1.0,4.0,7.0,11.0,92.0,86.0,24.31430944,  ,  ,  ,  
5042,C5043,公司6,363609,6.0,52.0,30.45553207,201.0,0.758837997,1.0,16.0,201.0,17.49169864,12.0,0.698044677,5.0,15.0,19.96860779,4.306276298,65.0,21.13743801,76.0,27.49231144,,4.125849353,,3.0,51.0,8.259980727,0.0,78.70112275,2.362569732,87.66842647,1.0,1.0,78.0,3.995482469,1.0,1.0,1.0,4.0,33.0,87.0,46.53475687,J0188,  ,  ,  
11208,C11209,公司1,10000,2.0,6.0,25.17718272,116.0,0.392665171,1.0,7.0,127.0,8.118718035,63.0,0.897671488,8.0,55.0,1.086809726,32.33700452,30.0,16.01798801,72.0,45.89558554,7.0,7.979502527,,78.0,60.0,5.505732723,0.0,16.55078651,19.53368909,26.77282544,3.0,1.0,17.0,2.687785616,1.0,9.0,4.0,9.0,80.0,41.0,34.456578,J0184,  ,  ,  
7238,C7239,公司8,646416,4.0,12.0,24.10556508,106.0,0.380915037,1.0,16.0,13.0,11.38151011,1.0,0.781355777,4.0,65.0,2.352094829,11.78303123,42.0,3.552948422,46.0,43.92287915,5.0,3.565507198,,95.0,51.0,2.465548332,0.0,38.83842038,4.842606134,6.043145498,3.0,1.0,53.0,3.48039804,1.0,5.0,4.0,4.0,79.0,84.0,32.67042677,J0014,  ,  ,  
11505,C11506,公司9,817216,12.0,14.0,20.27289724,174.0,0.674674984,1.0,4.0,169.0,8.498249301,45.0,0.740645219,8.0,17.0,8.446200135,6.386698467,63.0,26.62124395,96.0,87.91992919,7.0,15.51327971,,85.0,19.0,14.42317857,0.0,22.5009963,0.806929332,2.750640424,4.0,1.0,38.0,14.82790903,,8.0,3.0,8.0,45.0,50.0,70.63908071,  ,  ,  ,  
11074,C11075,公司1,10000,1.0,27.0,32.44119592,182.0,0.989384393,1.0,3.0,133.0,30.21661146,15.0,0.331789105,3.0,17.0,11.59413815,11.03571602,40.0,3.514257993,38.0,6.315885346,17.0,9.643635926,,84.0,23.0,2.50538084,0.0,69.30858084,1.442592004,10.81265919,1.0,1.0,58.0,2.34238203,1.0,11.0,3.0,4.0,8.0,33.0,23.97799365,J0083,  ,  ,  
10996,C10997,公司16,2585664,8.0,20.0,12.86666368,178.0,0.585564314,1.0,3.0,96.0,8.61511173,42.0,0.060629692,4.0,32.0,1.804997109,13.42524711,91.0,14.01643534,33.0,45.1013714,5.0,14.5359418,,82.0,59.0,4.185695893,0.0,62.66326856,8.446235426,75.06551698,3.0,1.0,30.0,7.119287037,1.0,2.0,6.0,1.0,17.0,43.0,14.93558703,  ,  ,  ,  
4999,C5000,公司19,3644281,1.0,67.0,9.010619721,120.0,0.600261747,1.0,8.0,195.0,11.97865477,4.0,0.89788572,10.0,68.0,1.345929112,6.26904849,62.0,4.384017591,21.0,29.18295797,14.0,11.75324045,,63.0,67.0,18.44436856,0.0,89.04053062,17.9746821,84.66170504,1.0,1.0,61.0,4.91796209,1.0,3.0,,7.0,69.0,50.0,35.41697945,J0044,J0042,  ,  
8480,C8481,公司8,646416,8.0,10.0,33.08283066,33.0,0.191765744,1.0,13.0,149.0,0.64359606,63.0,0.229245051,6.0,62.0,1.708264162,2.869771051,16.0,31.23123026,86.0,11.00991503,17.0,4.897870729,,48.0,50.0,1.275342188,0.0,22.51678788,12.17817033,69.55172049,2.0,1.0,12.0,15.91169818,1.0,10.0,7.0,1.0,72.0,28.0,32.96744983,J0088,J0014,J0160,  
9267,C9268,公司2,40401,9.0,27.0,33.45544997,151.0,,1.0,13.0,189.0,23.06419351,24.0,0.959252274,7.0,35.0,10.43042151,24.89505995,28.0,31.67842852,19.0,24.73516168,8.0,13.94571147,,58.0,39.0,15.22902518,0.0,84.31176007,15.93832779,48.28050818,2.0,1.0,31.0,14.50583539,1.0,9.0,2.0,3.0,6.0,7.0,67.94800448,  ,  ,  ,  
8398,C8399,公司15,2271049,9.0,17.0,20.09348463,166.0,0.460764019,1.0,7.0,53.0,23.9352408,47.0,0.790362817,1.0,20.0,9.25583323,31.65991652,76.0,27.0903539,33.0,36.39025352,18.0,15.48323145,,33.0,3.0,17.63260463,0.0,28.4894823,15.98738066,64.84190442,4.0,1.0,,10.22546767,1.0,8.0,7.0,11.0,27.0,42.0,80.29617826,  ,  ,  ,  
2631,C2632,公司16,2585664,1.0,10.0,4.649806468,177.0,0.359914729,1.0,15.0,146.0,12.20638614,13.0,0.346859224,1.0,16.0,11.83252596,28.93672404,25.0,2.503191515,57.0,25.52027769,12.0,16.73885478,,31.0,23.0,13.93102199,0.0,5.439876898,0.682796485,55.59550888,4.0,1.0,65.0,2.576181578,1.0,8.0,,6.0,17.0,84.0,45.33519672,  ,  ,  ,  
3131,C3132,公司13,1705636,12.0,52.0,0.353745177,188.0,0.472923896,1.0,12.0,195.0,17.96502612,51.0,0.03336835,6.0,6.0,15.50508356,33.69464135,7.0,25.52742248,4.0,74.08563596,15.0,8.054136848,,73.0,54.0,14.19481445,0.0,57.23109004,1.380926626,77.61048303,5.0,1.0,20.0,0.979960222,1.0,7.0,4.0,4.0,51.0,59.0,2.838454525,J0135,  ,  ,  
9583,C9584,公司17,2917264,8.0,57.0,3.254925776,83.0,0.748778998,,3.0,110.0,1.226998926,66.0,0.452894558,8.0,51.0,7.89735897,7.315160034,58.0,3.757988074,48.0,42.04173283,3.0,11.04188201,,95.0,26.0,10.14844628,0.0,16.04106779,16.00726268,12.09514052,5.0,1.0,89.0,2.08804238,1.0,4.0,5.0,12.0,38.0,23.0,8.888173326,  ,  ,  ,  
8218,C8219,公司12,1454436,6.0,27.0,6.356336089,151.0,0.968773544,1.0,18.0,127.0,12.19891679,46.0,0.670520419,7.0,54.0,12.91090127,15.61162317,79.0,22.24022109,84.0,45.78870346,16.0,4.68222383,,82.0,45.0,0.252048025,0.0,34.58460745,7.757855521,80.32805082,4.0,1.0,22.0,12.78874883,1.0,2.0,2.0,4.0,21.0,38.0,19.34168992,  ,  ,  ,  
9276,C9277,公司11,1221025,10.0,30.0,5.73916997,128.0,0.324785563,1.0,4.0,129.0,19.32668255,40.0,0.651042256,9.0,49.0,3.478745744,6.726569703,2.0,23.72973688,13.0,79.81947527,11.0,10.90304718,,40.0,37.0,1.96567251,0.0,82.88867854,6.898743682,75.64568956,3.0,1.0,72.0,10.41015636,,12.0,4.0,8.0,27.0,25.0,,  ,  ,  ,  
3813,C3814,公司3,90601,5.0,42.0,31.07989641,198.0,0.969523783,1.0,6.0,177.0,16.31476149,49.0,0.591242431,6.0,2.0,8.713119011,6.631665691,37.0,,40.0,21.12448193,4.0,16.87618457,,87.0,62.0,18.00770157,0.0,45.89743322,4.901085529,40.67437874,1.0,1.0,13.0,17.79549565,1.0,4.0,6.0,10.0,85.0,36.0,71.92856113,J0088,J0110,J0011,  
5886,C5887,公司13,1705636,5.0,19.0,27.43203065,57.0,0.804415031,1.0,18.0,6.0,9.171193091,18.0,0.242079886,10.0,47.0,12.56178999,16.89682971,22.0,32.93637886,38.0,91.45772779,16.0,17.97766051,,68.0,8.0,3.414989489,0.0,42.71990254,14.46207349,84.40443385,1.0,1.0,39.0,7.918873299,1.0,5.0,2.0,4.0,62.0,25.0,76.35653499,  ,  ,  ,  
5082,C5083,公司3,90601,10.0,71.0,31.06542481,9.0,0.431990183,1.0,4.0,140.0,24.88401724,45.0,0.407681188,6.0,43.0,4.601386349,26.95023184,88.0,15.04764902,74.0,31.27393507,11.0,1.160303039,,50.0,36.0,15.64391998,0.0,47.79020115,19.69469409,13.99633067,5.0,1.0,86.0,9.912490745,1.0,10.0,2.0,9.0,47.0,36.0,23.06889682,  ,  ,  ,  
11815,C11816,公司5,252004,12.0,30.0,21.40847105,136.0,0.144300691,1.0,2.0,73.0,13.27835953,5.0,0.039894026,11.0,17.0,13.19747741,25.12047292,36.0,7.232027593,80.0,57.80305111,7.0,15.62493754,,28.0,48.0,18.03794605,0.0,80.67338456,15.80379489,43.55820384,5.0,1.0,11.0,8.907405336,1.0,9.0,1.0,8.0,92.0,30.0,47.16232293,  ,  ,  ,  
8823,C8824,公司17,2917264,11.0,44.0,14.7204569,32.0,0.333027407,1.0,10.0,38.0,7.516928576,33.0,0.943230481,6.0,52.0,8.707542755,21.35826117,71.0,32.59738206,4.0,29.12000523,3.0,2.625534735,,13.0,48.0,16.90009437,0.0,32.8648825,13.56392353,45.02311072,3.0,1.0,46.0,16.77631228,1.0,9.0,6.0,12.0,90.0,59.0,4.610262285,J0127,  ,  ,  
1217,C1218,公司8,646416,10.0,33.0,2.045186805,66.0,0.700029726,1.0,18.0,103.0,31.61720981,38.0,0.504458824,12.0,13.0,4.064397351,28.11793959,67.0,27.71935228,23.0,77.85831322,6.0,5.268856726,,45.0,68.0,2.742451833,0.0,28.22857792,15.15230499,21.11152309,5.0,1.0,30.0,13.53157461,1.0,8.0,7.0,11.0,74.0,12.0,43.53738816,J0121,  ,  ,  
3991,C3992,公司1,10000,12.0,49.0,9.851419292,140.0,0.553072641,1.0,8.0,151.0,21.04322198,71.0,0.53692966,5.0,27.0,14.06131878,24.14582521,29.0,24.24426844,8.0,9.117142358,17.0,11.13567665,,95.0,1.0,13.38557455,0.0,39.90577564,16.87418618,33.37920071,1.0,1.0,94.0,9.780198134,1.0,8.0,3.0,5.0,5.0,13.0,62.51500989,  ,  ,  ,  
11147,C11148,公司2,40401,8.0,60.0,33.61491462,46.0,0.325430644,1.0,8.0,17.0,22.27642148,5.0,0.285375623,1.0,71.0,12.77577688,6.276935454,61.0,12.45886985,50.0,1.610019001,16.0,10.68750356,,3.0,64.0,17.30293786,0.0,58.45489395,2.161293375,5.97879129,2.0,1.0,43.0,13.22017208,1.0,12.0,6.0,7.0,37.0,61.0,3.291768657,  ,  ,  ,  
7615,C7616,公司10,1010025,3.0,55.0,18.08760506,24.0,0.88281597,1.0,10.0,104.0,31.70338231,6.0,0.478816142,5.0,39.0,8.963302551,17.12169591,95.0,8.634652679,33.0,29.33928987,14.0,18.7444767,,89.0,27.0,13.94076766,0.0,73.48691231,6.988224252,67.53562392,3.0,1.0,84.0,2.651042529,1.0,2.0,1.0,11.0,56.0,84.0,78.62779556,J0110,  ,  ,  
10691,C10692,公司4,161604,2.0,35.0,29.25904495,120.0,0.357210154,1.0,1.0,174.0,11.32359387,60.0,0.514210085,3.0,31.0,5.870702299,3.481653351,80.0,6.597882895,12.0,77.64072719,12.0,3.732161793,,,68.0,2.601304052,0.0,73.82771906,2.773215761,18.65819067,1.0,1.0,55.0,13.98733891,1.0,12.0,5.0,2.0,84.0,87.0,1.137313142,  ,  ,  ,  
10184,C10185,公司6,363609,12.0,48.0,26.36134308,123.0,0.057200661,1.0,3.0,137.0,8.982672048,61.0,0.659594238,11.0,70.0,5.403341719,26.6265404,91.0,17.21458141,57.0,44.41228927,16.0,13.77991154,,23.0,62.0,0.28158119,0.0,55.51941237,15.68181161,71.15670959,1.0,1.0,22.0,7.105289996,1.0,8.0,4.0,9.0,41.0,29.0,29.43588066,  ,  ,  ,  
1683,C1684,公司13,1705636,7.0,55.0,7.420758974,167.0,0.428004003,1.0,3.0,187.0,26.60453414,20.0,0.576910281,5.0,69.0,18.19113473,7.832160716,19.0,7.062905371,74.0,35.59920697,7.0,0.329343224,,65.0,3.0,17.93027668,0.0,22.584053,7.031942275,39.28054277,2.0,1.0,64.0,12.43097864,1.0,11.0,3.0,1.0,24.0,36.0,81.08100525,  ,  ,  ,  
4574,C4575,公司20,4040100,9.0,20.0,2.594317014,114.0,0.867334735,1.0,3.0,4.0,28.48425505,10.0,0.077187249,10.0,5.0,10.54952922,4.317586407,62.0,29.90863149,96.0,60.64161677,17.0,4.137073184,,48.0,12.0,13.78563701,0.0,91.95760762,0.119318189,65.06466176,2.0,1.0,92.0,10.2408532,1.0,1.0,4.0,3.0,94.0,22.0,77.33136097,  ,  ,  ,  
11540,C11541,公司20,4040100,4.0,11.0,9.318081357,39.0,0.24043005,1.0,14.0,51.0,21.74976046,39.0,0.195930468,6.0,39.0,0.962784757,29.77668711,69.0,24.52433974,67.0,43.63252137,11.0,5.834619594,,47.0,36.0,5.243117979,0.0,41.62051159,0.872511074,29.09874131,3.0,1.0,16.0,16.12112935,1.0,1.0,1.0,9.0,37.0,33.0,64.18613532,  ,  ,  ,  
10750,C10751,公司2,40401,5.0,14.0,19.4785803,22.0,0.980647985,1.0,18.0,192.0,5.016826967,11.0,0.024053106,5.0,41.0,8.240715329,4.740211611,12.0,17.59839051,47.0,26.82657639,2.0,17.58826327,,92.0,49.0,19.77898337,0.0,4.383476565,15.03423228,79.84927511,1.0,1.0,76.0,8.91802367,1.0,3.0,2.0,1.0,5.0,,62.22343734,  ,  ,  ,  
11283,C11284,公司4,161604,4.0,37.0,29.08135676,113.0,0.997747356,1.0,1.0,134.0,17.78232025,59.0,0.273748135,7.0,31.0,14.77654765,27.73332618,78.0,7.886725264,67.0,55.76425007,6.0,18.41067365,,29.0,27.0,7.938462549,0.0,52.22072164,15.89190595,63.77980056,1.0,1.0,26.0,8.711604362,1.0,9.0,5.0,7.0,94.0,55.0,43.72728272,  ,  ,  ,  
7562,C7563,公司1,10000,5.0,29.0,28.58449784,78.0,0.95674482,1.0,13.0,40.0,24.41216936,13.0,0.264401471,3.0,26.0,13.28076355,13.71244877,50.0,22.08725306,90.0,57.64960526,13.0,1.570014001,,92.0,47.0,9.974706457,0.0,75.34632076,5.053074416,75.9122393,4.0,1.0,69.0,4.034974197,1.0,2.0,4.0,1.0,96.0,30.0,52.429796,  ,  ,  ,  
5903,C5904,公司19,3644281,12.0,46.0,5.639524008,162.0,0.675021954,1.0,4.0,102.0,21.0331656,3.0,0.059851967,5.0,17.0,8.566611104,29.35894179,78.0,21.10670469,6.0,47.45154762,12.0,14.16211445,,12.0,69.0,2.231568538,0.0,71.28313886,19.08796824,90.80511953,4.0,1.0,88.0,15.77047186,1.0,11.0,1.0,10.0,92.0,27.0,76.19160874,  ,  ,  ,  
2582,C2583,公司17,2917264,9.0,21.0,3.604582671,108.0,0.081521646,1.0,10.0,19.0,24.44618556,55.0,0.513987775,11.0,31.0,7.234352867,30.44256861,36.0,28.73559968,35.0,41.14824007,18.0,5.659592916,,68.0,40.0,11.872577,0.0,35.8167151,4.950656466,63.43031824,2.0,1.0,88.0,18.41706251,1.0,-999999999.0,6.0,6.0,56.0,86.0,86.31211783,J0007,  ,  ,  
3002,C3003,公司16,2585664,9.0,68.0,13.53140145,171.0,0.024016971,1.0,8.0,50.0,30.09661793,36.0,0.392251088,4.0,28.0,13.30546797,30.89849141,32.0,27.23302885,55.0,10.77037436,4.0,2.053079447,32.93915515,30.0,14.0,18.40074253,0.0,59.29239689,9.747580319,43.01622793,5.0,1.0,93.0,1.222507921,1.0,11.0,5.0,5.0,13.0,46.0,55.89194652,J0071,J0169,  ,  
